uid,pid,ptm,pen,desc,cat,pey,act
67578,747772,NYJ,DL-0550,Roughing the Passer,6,15,A
67579,747779,MIA,MH-3735,Illegal Forward Pass,3,5,A
67580,747782,NYJ,JA-0150,Taunting,6,15,A
67581,747798,NYJ,,Illegal Substitution,3,4,A
67582,747799,NYJ,JB-7950,Defensive Holding,5,0,D
67583,747830,CAR,DW-4750,Defensive Pass Interference,5,0,D
67584,747837,CAR,CN-0500,Delay of Game,3,5,A
67585,747908,NO,CF-0650,Offensive Pass Interference,2,10,A
67586,747948,PHI,JK-0500,False Start,1,5,A
67587,747955,PHI,NB-0500,Face Mask,6,15,A
67588,747959,PHI,PR-0400,Offensive Holding,2,10,A
67589,747988,PHI,LB-0500,Taunting,6,15,A
67590,747994,NYG,EE-0400,Illegal Shift,3,0,D
67591,747997,NYG,JP-2900,Neutral Zone,4,5,A
67592,748011,PHI,DB-0875,Neutral Zone,4,5,A
67593,748013,NYG,EE-0400,False Start,1,5,A
67594,748037,PHI,LJ-0850,False Start,1,5,A
67595,748040,NYG,EA-0575,Defensive Pass Interference,5,41,A
67596,748054,PHI,EQ-0100,Defensive Offside,4,5,A
67597,748066,PHI,RD-1550,Illegal Use of Hands,5,0,D
67598,748066,NYG,OB-0075,Unsportsmanlike Conduct,6,15,A
67599,748081,PHI,AJ-0430,Offensive Pass Interference,2,0,D
67600,748082,NYG,DH-1800,Invalid Fair Catch Signal,8,5,A
67601,748090,NYG,EA-0575,Defensive Pass Interference,5,36,A
67602,748095,NYG,OB-0075,Offensive Pass Interference,2,10,A
67603,748098,PHI,MJ-0600,Defensive Pass Interference,5,28,A
67604,748101,NYG,JJ-2100,Delay of Game,3,5,A
67605,748109,PHI,AJ-0430,Face Mask,6,15,A
67606,748116,NYG,EF-0075,Illegal Shift,3,5,A
67607,748117,NYG,EF-0075,Offensive Holding,2,10,A
67608,748140,CHI,,Low Block,7,15,A
67609,748141,CHI,KF-0500,Defensive Pass Interference,5,10,A
67610,748144,CHI,BC-0150,Illegal Contact,5,0,D
67611,748154,PIT,,Illegal Shift,3,5,A
67612,748161,PIT,CH-3100,Roughing the Passer,6,15,A
67613,748162,CHI,AS-0775,Illegal Block Above the Waist,7,10,A
67614,748173,PIT,,Illegal Formation,3,5,A
67615,748188,CHI,KW-2550,Illegal Motion,3,5,A
67616,748198,PIT,AB-3500,False Start,1,5,A
67617,748201,PIT,JB-3275,Illegal Bat,8,0,A
67618,748202,CHI,CL-0862,False Start,1,4,A
67619,748215,PIT,DD-0750,Offensive Holding,2,0,D
67620,748224,CHI,MC-2570,Defensive Holding,5,0,A
67621,748237,CHI,CL-0862,Offensive Holding,2,10,A
67622,748239,CHI,JT-2850,False Start,1,0,D
67623,748258,CHI,BS-3050,False Start,1,5,A
67624,748260,CHI,BS-3050,False Start,1,5,A
67625,748263,PIT,CH-4550,Offensive Holding,2,10,A
67626,748267,CHI,RR-0850,Offensive Holding,2,9,A
67627,748306,MIN,RR-0250,Illegal Use of Hands,2,10,A
67628,748316,TB,JE-1300,Player Out of Bounds on Punt,3,5,A
67629,748318,TB,GM-0500,Encroachment,4,5,A
67630,748331,TB,TW-0600,Defensive Holding,5,2,A
67631,748331,TB,RR-1450,Defensive Offside,4,0,D
67632,748342,MIN,NE-0225,Offensive Holding,2,10,A
67633,748349,MIN,XR-0100,Defensive Holding,5,0,D
67634,748350,MIN,XR-0100,Taunting,6,8,A
67635,748366,TB,CL-1850,Offensive Holding,2,10,A
67636,748373,TB,,12 On-field,3,0,D
67637,748378,TB,DD-2300,Offensive Holding,2,0,O
67638,748378,MIN,AB-0650,Horse Collar,7,0,O
67639,748379,MIN,MA-0350,Illegal Contact,5,0,D
67640,748388,TB,WG-0550,Defensive Holding,5,5,A
67641,748390,MIN,AT-0350,Offensive Holding,2,10,A
67642,748400,TB,DD-2300,False Start,1,5,A
67643,748405,MIN,TB-2700,Defensive Pass Interference,5,15,A
67644,748425,TB,AM-0750,False Start,1,5,A
67645,748450,SEA,LJ-0750,Offensive Holding,2,0,D
67646,748450,SEA,GI-0100,Unnecessary Roughness,6,0,D
67647,748450,SEA,GI-0100,Offensive Holding,2,0,D
67648,748459,TEN,TS-2650,Offensive Holding,2,10,A
67649,748459,TEN,LS-0950,Offensive Holding,2,0,D
67650,748474,SEA,DH-3112,Illegal Block Above the Waist,7,10,A
67651,748478,SEA,MW-1750,Offensive Holding,2,10,A
67652,748480,SEA,CA-1300,Defensive Offside,4,5,A
67653,748483,SEA,RS-1000,Defensive Pass Interference,5,16,A
67654,748483,SEA,RS-1000,Offensive Holding,2,0,D
67655,748483,SEA,RS-1000,Unsportsmanlike Conduct,6,15,A
67656,748485,TEN,,Illegal Shift,3,0,D
67657,748488,TEN,ED-0200,Offensive Holding,2,10,A
67658,748489,TEN,ED-0200,Offensive Pass Interference,2,10,A
67659,748503,SEA,SR-0670,Defensive Offside,4,5,A
67660,748504,SEA,RS-1000,Unnecessary Roughness,6,0,O
67661,748504,TEN,JC-4050,Unnecessary Roughness,6,0,O
67662,748504,TEN,QS-0075,Unnecessary Roughness,6,0,O
67663,748514,SEA,GI-0100,False Start,1,5,A
67664,748516,TEN,DF-1225,Illegal Block Above the Waist,7,10,A
67665,748548,SEA,MB-1900,Defensive Offside,4,5,A
67666,748552,SEA,FC-0150,Defensive Offside,4,0,D
67667,748563,SEA,JL-0230,Defensive Holding,5,5,A
67668,748601,SEA,RW-3850,Intentional Grounding,3,17,A
67669,748606,TEN,JK-1650,False Start,1,5,A
67670,748626,SEA,,12 On-field,3,5,A
67671,748635,GB,ME-0550,Face Mask,6,12,A
67672,748642,CIN,AJ-1200,Defensive Pass Interference,5,33,A
67673,748672,CIN,DK-0750,Defensive Holding,5,0,D
