uid,gid,tname,player,pos,snp
19969,4529,BUF,KW-1600,DT,43
19970,4529,BUF,SL-0350,LE,37
19971,4529,BUF,MD-0100,DT,34
19972,4529,BUF,LA-0200,SLB,25
19973,4529,BUF,RD-0650,RE,21
19974,4529,BUF,AW-0550,DT,15
19975,4529,BUF,CT-1300,DT,13
19976,4529,BUF,SW-2300,LCB,11
19977,4529,BUF,EY-0100,LE,11
19978,4530,OAK,GJ-0050,RG,66
19979,4530,OAK,KO-0750,LG,66
19980,4530,OAK,RH-3200,C,66
19981,4530,OAK,DC-0725,QB,66
19982,4530,OAK,DP-1100,LT,66
19983,4530,OAK,AC-2350,RWR,61
19984,4530,OAK,MN-0400,RT,57
19985,4530,OAK,SR-0750,LWR,55
19986,4530,OAK,MC-2900,LWR,48
19987,4530,OAK,JC-4300,TE,47
19988,4530,OAK,ML-2500,RB,32
19989,4530,OAK,LS-1550,TE,29
19990,4530,OAK,CP-0750,RWR,22
19991,4530,OAK,DW-1350,RB,15
19992,4530,OAK,JR-2075,RB,14
19993,4530,OAK,VA-0275,RT,9
19994,4530,OAK,CW-0225,TE,5
19995,4530,OAK,JH-5125,RWR,1
19996,4530,OAK,KJ-1150,SS,64
19997,4530,OAK,KM-0050,LDE,64
19998,4530,OAK,DA-0950,LCB,64
19999,4530,OAK,RN-0300,FS,64
20000,4530,OAK,BI-0150,SLB,63
20001,4530,OAK,CJ-0675,WLB,60
20002,4530,OAK,TC-0385,RCB,59
20003,4530,OAK,SS-1700,RCB,48
20004,4530,OAK,TA-0250,MLB,41
20005,4530,OAK,EV-0200,LDT,37
20006,4530,OAK,ME-0425,RDE,32
20007,4530,OAK,TH-1525,LDT,31
20008,4530,OAK,DA-2050,RDE,31
20009,4530,OAK,ML-0662,MLB,21
20010,4530,OAK,JE-0450,NT,21
20011,4530,OAK,NM-0675,WLB,4
20012,4530,OAK,DM-1537,LCB,2
20013,4530,OAK,JC-5475,SLB,1
20014,4530,TEN,TL-0775,LT,64
20015,4530,TEN,JK-1650,RG,64
20016,4530,TEN,QS-0075,LG,64
20017,4530,TEN,JC-4050,RT,64
20018,4530,TEN,MM-0912,QB,64
20019,4530,TEN,BJ-1950,C,64
20020,4530,TEN,ED-0200,RWR,60
20021,4530,TEN,DW-0500,TE,53
20022,4530,TEN,RM-1500,LWR,52
20023,4530,TEN,DM-4300,RB,47
20024,4530,TEN,CD-0975,RWR,44
20025,4530,TEN,JS-4550,TE,24
20026,4530,TEN,DH-2450,RB,18
20027,4530,TEN,PS-0950,TE,9
20028,4530,TEN,DK-0430,RT,6
20029,4530,TEN,TT-0150,LWR,6
20030,4530,TEN,JF-2950,FB,3
20031,4530,TEN,KB-2850,FS,64
20032,4530,TEN,LR-0600,LCB,64
20033,4530,TEN,AJ-0050,RCB,62
20034,4530,TEN,DM-3600,LOLB,57
20035,4530,TEN,BM-0800,LCB,56
20036,4530,TEN,JC-6400,SS,55
20037,4530,TEN,BO-0400,ROLB,52
20038,4530,TEN,JC-1700,DT,50
20039,4530,TEN,WW-0900,LILB,50
20040,4530,TEN,AW-1450,RILB,43
20041,4530,TEN,JB-6837,LILB,37
20042,4530,TEN,DJ-2250,LDE,34
20043,4530,TEN,EW-0100,ROLB,30
20044,4530,TEN,AJ-1137,NT,17
20045,4530,TEN,KK-1000,DT,15
20046,4530,TEN,SW-1750,NT,14
20047,4530,TEN,DS-1400,SS,11
20048,4530,TEN,AW-0275,LB,5
20049,4530,TEN,BT-0950,FS,4
20050,4530,TEN,TS-2650,LCB,2
20051,4531,PHI,IS-0125,LG,68
20052,4531,PHI,BB-3230,RG,68
20053,4531,PHI,LJ-0850,RT,68
20054,4531,PHI,JK-0500,C,68
20055,4531,PHI,CW-1425,QB,68
20056,4531,PHI,ZE-0100,TE,60
20057,4531,PHI,AJ-0430,LWR,60
20058,4531,PHI,TS-2300,RWR,48
20059,4531,PHI,HV-0100,LT,45
20060,4531,PHI,NA-0050,SWR,42
20061,4531,PHI,DS-3300,RB,33
20062,4531,PHI,JP-2400,LT,31
20063,4531,PHI,BC-0700,TE,25
20064,4531,PHI,LB-0500,RB,23
20065,4531,PHI,WS-0650,RB,15
20066,4531,PHI,TB-3950,TE,14
20067,4531,PHI,MJ-1450,LWR,7
20068,4531,PHI,MH-3050,RWR,5
20069,4531,PHI,MJ-0600,S,63
20070,4531,PHI,RM-3050,S,63
20071,4531,PHI,JH-3675,MLB,60
20072,4531,PHI,JM-4850,LCB,63
20073,4531,PHI,NB-0500,OLB,63
20074,4531,PHI,PR-0400,RCB,52
20075,4531,PHI,BG-1200,LDE,43
20076,4531,PHI,FC-0400,LDT,43
20077,4531,PHI,TJ-1025,RDT,40
20078,4531,PHI,VC-0400,RDE,37
20079,4531,PHI,DB-0875,RDE,26
20080,4531,PHI,CL-1400,LDE,26
20081,4531,PHI,BA-0350,RDT,25
20082,4531,PHI,MK-0730,OLB,23
20083,4531,PHI,CG-1700,S,20
20084,4531,PHI,RD-0050,RCB,18
20085,4531,PHI,JW-0950,S,15
20086,4531,PHI,DV-0050,LDT,12
20087,4531,WAS,SL-0300,LG,63
20088,4531,WAS,BS-0950,RG,63
20089,4531,WAS,MM-5450,RT,63
20090,4531,WAS,SL-0925,C,63
20091,4531,WAS,KC-2350,QB,63
20092,4531,WAS,TW-2800,LT,57
20093,4531,WAS,JR-1150,TE,55
20094,4531,WAS,TP-2400,QB,53
20095,4531,WAS,JC-5680,RWR,49
20096,4531,WAS,RG-1650,RWR,37
20097,4531,WAS,RK-0150,RB,33
20098,4531,WAS,CT-1220,RB,30
20099,4531,WAS,VD-0100,TE,27
20100,4531,WAS,JD-2350,LWR,20
20101,4531,WAS,BQ-0050,SWR,6
20102,4531,WAS,NP-0100,TE,5
20103,4531,WAS,TN-0650,LT,4
20104,4531,WAS,MF-1400,MLB,63
20105,4531,WAS,JN-1750,RCB,63
20106,4531,WAS,ZB-0400,MLB,63
20107,4531,WAS,DE-1300,SS,63
20108,4531,WAS,DS-5150,FS,63
20109,4531,WAS,BB-2725,LCB,63
20110,4531,WAS,RK-0500,WLB,57
20111,4531,WAS,PS-0550,SLB,52
20112,4531,WAS,JA-1062,DE,42
20113,4531,WAS,KF-0450,RCB,42
20114,4531,WAS,MI-0175,DE,33
20115,4531,WAS,SM-1650,NT,31
20116,4531,WAS,ZH-0200,NT,29
20117,4531,WAS,TM-1400,DE,28
20118,4531,WAS,JG-0400,WLB,16
20119,4531,WAS,RA-1175,SLB,10
20120,4531,WAS,MN-0550,FS,3
20121,4531,WAS,QD-0400,LCB,2
20122,4531,WAS,CC-0900,SLB,1
20123,4532,PIT,RF-0900,LG,60
20124,4532,PIT,AV-0350,LT,59
20125,4532,PIT,MG-0500,RT,60
20126,4532,PIT,DD-0750,RG,60
20127,4532,PIT,BR-1100,QB,60
20128,4532,PIT,MP-1900,C,60
20129,4532,PIT,JJ-0725,TE,54
20130,4532,PIT,AB-3500,LWR,51
20131,4532,PIT,MB-4550,RWR,50
20132,4532,PIT,LB-0250,RB,43
20133,4532,PIT,ER-0462,LWR,39
20134,4532,PIT,JS-4750,LWR,25
20135,4532,PIT,VM-0250,TE,18
20136,4532,PIT,RN-1250,FB,10
20137,4532,PIT,JC-4075,RB,8
20138,4532,PIT,DH-2800,RWR,1
20139,4532,PIT,XG-0100,TE,1
20140,4532,PIT,SD-0250,SS,60
20141,4532,PIT,RS-0962,LILB,60
20142,4532,PIT,AB-3875,RCB,60
20143,4532,PIT,JH-0100,LCB,60
20144,4532,PIT,AC-1350,LOLB,60
20145,4532,PIT,TW-1137,ROLB,60
20146,4532,PIT,VW-0250,RILB,55
20147,4532,PIT,TA-0600,RDE,54
20148,4532,PIT,CH-3100,LDE,52
20149,4532,PIT,MM-3800,FS,44
20150,4532,PIT,MH-2975,LCB,34
20151,4532,PIT,WG-0500,RCB,26
20152,4532,PIT,JH-1375,NT,25
20153,4532,PIT,JW-3050,FS,20
20154,4532,PIT,LW-0250,LDE,17
20155,4532,PIT,AM-2300,LOLB,4
20156,4532,PIT,JH-2100,ROLB,4
20157,4532,PIT,ST-1150,RDE,2
20158,4532,PIT,LF-0550,LB,1
20159,4532,PIT,RG-1250,SS,1
20160,4532,PIT,TM-0825,RILB,1
20161,4532,CLE,KZ-0050,RG,66
20162,4532,CLE,JB-3550,LG,66
20163,4532,CLE,SC-0950,RT,66
20164,4532,CLE,JT-3350,C,66
20165,4532,CLE,JT-1600,LT,66
20166,4532,CLE,DK-0875,QB,66
20167,4532,CLE,CC-3650,WR,53
20168,4532,CLE,IC-0300,RB,52
20169,4532,CLE,KB-1900,RWR,52
20170,4532,CLE,DJ-1850,RB,50
20171,4532,CLE,SD-0534,TE,31
20172,4532,CLE,DN-1225,TE,29
20173,4532,CLE,RT-0450,TE,18
20174,4532,CLE,RL-1325,RWR,16
20175,4532,CLE,MD-0175,RB,13
20176,4532,CLE,KW-1175,RWR,12
20177,4532,CLE,DV-0550,FB,4
20178,4532,CLE,JP-1975,S,60
20179,4532,CLE,JT-0850,RCB,60
20180,4532,CLE,JM-2800,LCB,60
20181,4532,CLE,CK-0850,WLB,60
20182,4532,CLE,JS-1025,MLB,60
20183,4532,CLE,JC-3550,SLB,59
20184,4532,CLE,BB-2231,RCB,47
20185,4532,CLE,EO-0075,DE,42
20186,4532,CLE,DK-0625,S,40
20187,4532,CLE,CN-0250,DE,42
20188,4532,CLE,TC-2150,DT,39
