pid,bc,dir,yds,succ,kne
742306,CI-0300,RG,2,0,0
742307,LF-0650,RG,4,0,0
742308,LF-0650,MD,3,1,0
742309,LF-0650,RG,1,0,0
742310,TB-1720,RG,0,0,0
742311,LF-0650,MD,1,1,0
742323,LM-1150,MD,7,1,0
742326,LM-1150,RT,7,1,0
742327,LM-1150,RT,0,0,0
742329,LM-1150,RT,2,0,0
742331,LM-1150,LT,7,1,0
742333,DW-1725,LE,9,1,0
742334,TE-0350,LG,4,1,0
742345,CI-0300,RT,7,1,0
742348,CI-0300,RT,1,0,0
742349,CI-0300,MD,1,0,0
742351,LF-0650,LG,7,1,0
742352,BB-2425,LE,15,1,0
742354,LF-0650,RE,1,1,0
742358,LM-1150,MD,4,1,0
742360,DW-1725,MD,7,1,0
742361,LM-1150,LT,2,0,0
742364,LM-1150,RT,8,1,0
742366,LM-1150,RT,5,1,0
742368,LM-1150,MD,3,0,0
742370,LF-0650,MD,4,1,0
742371,LF-0650,RT,17,1,0
742372,CI-0300,MD,1,0,0
742373,CI-0300,RG,0,0,0
742375,LF-0650,RE,5,1,0
742380,LM-1150,LT,4,1,0
742385,LF-0650,RG,1,0,0
742386,LF-0650,LG,3,0,0
742400,LF-0650,LG,2,0,0
742401,CI-0300,MD,1,0,0
742402,LF-0650,RG,4,0,0
742405,LM-1150,LG,8,1,0
742409,BB-2425,NL,-1,0,1
742410,BB-2425,NL,-1,0,1
742413,LM-1000,RT,3,0,0
742418,MT-1300,LG,16,1,0
742419,MT-1300,MD,4,1,0
742420,LM-1000,MD,3,0,0
742421,TT-0500,LG,10,1,0
742422,LM-1000,RG,10,1,0
742424,MT-1300,LT,-6,0,0
742428,MF-1300,RT,1,0,0
742433,LM-1000,RT,3,0,0
742439,MF-1300,LG,2,0,0
742442,LM-1000,RT,-1,0,0
742445,MT-1300,RT,6,1,0
742446,LM-1000,RT,1,0,0
742447,LM-1000,RE,23,1,0
742448,MT-1300,LG,0,0,0
742450,MT-1300,RT,14,1,0
742451,LM-1000,MD,2,0,0
742467,LM-1000,LT,20,1,0
742468,LM-1000,RT,-1,0,0
742471,MT-1300,MD,3,0,0
742474,BP-1200,MD,4,0,0
742476,BP-1200,LG,3,0,0
742477,BP-1200,MD,2,0,0
742489,JM-2900,NL,-1,0,1
742491,BP-1200,MD,0,0,0
742494,MF-1300,RT,1,0,0
742498,LM-1000,LG,1,0,0
742500,TT-0500,LG,3,0,0
