gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk
4524,741667,NE,KC,RUSH,3,30,3,10,53,17,14,3,3,1,10,28,2,0,0,0,0,1,0,0,0,0,0,0
4524,741668,NE,KC,RUSH,4,40,3,10,23,17,14,3,3,2,8,30,2,0,0,0,0,1,0,0,0,0,0,0
4524,741669,NE,KC,PASS,5,6,3,9,43,17,14,3,3,3,12,26,2,0,1,0,0,0,0,0,0,0,0,0
4524,741670,KC,NE,PUNT,0,9,3,9,37,14,17,3,3,4,12,26,2,0,0,0,0,0,0,1,0,1,0,0
4524,741671,KC,NE,PASS,1,9,3,9,28,14,17,3,3,1,10,25,2,1,1,0,7,0,0,0,0,0,0,0
4524,741672,KC,NE,FGXP,1,3,3,9,19,21,17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741673,NE,KC,KOFF,0,6,3,9,19,17,21,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741674,NE,KC,PASS,1,10,3,9,19,17,21,3,3,1,10,25,2,0,1,0,0,0,0,0,0,0,0,0
4524,741675,NE,KC,RUSH,2,40,3,9,13,17,21,3,3,2,10,25,2,0,0,0,0,1,0,0,0,0,0,0
4524,741676,NE,KC,PASS,3,31,3,8,33,17,21,3,3,3,6,29,2,1,1,0,0,1,0,0,0,0,0,0
4524,741677,NE,KC,PASS,4,7,3,8,2,17,21,3,3,1,10,46,3,0,0,0,0,0,0,0,0,0,0,0
4524,741678,NE,KC,RUSH,5,33,3,7,55,17,21,3,3,2,10,46,3,0,1,0,0,1,0,0,0,0,0,0
4524,741679,NE,KC,PASS,6,8,3,7,22,17,21,3,3,3,5,51,3,0,1,0,0,0,0,0,0,0,0,0
4524,741680,KC,NE,PUNT,0,6,3,7,14,21,17,3,3,4,5,51,3,0,0,0,0,0,0,0,0,0,0,0
4524,741681,KC,NE,RUSH,1,28,3,7,8,21,17,3,3,1,10,14,1,0,0,0,0,1,0,0,0,0,0,0
4524,741682,KC,NE,PASS,2,7,3,6,40,21,17,3,3,2,9,15,1,0,1,0,0,0,0,0,0,0,0,0
4524,741683,KC,NE,PASS,3,4,3,6,33,21,17,3,3,3,9,15,1,0,1,0,0,0,0,0,0,0,0,0
4524,741684,NE,KC,PUNT,0,7,3,6,29,17,21,3,3,4,9,15,1,0,0,0,0,0,0,0,0,0,0,0
4524,741685,NE,KC,NOPL,0,4,3,6,22,17,21,3,3,1,10,46,3,0,0,0,0,0,0,1,0,0,0,0
4524,741686,NE,KC,PASS,1,38,3,6,18,17,21,3,3,1,10,51,3,1,1,0,0,1,0,0,0,0,0,0
4524,741687,NE,KC,NOPL,1,5,3,5,40,17,21,3,3,1,10,73,4,1,0,0,0,0,0,1,0,0,0,0
4524,741688,NE,KC,RUSH,2,32,3,5,35,17,21,3,3,1,1,99,5,0,0,0,0,1,0,0,0,0,0,0
4524,741689,NE,KC,RUSH,3,2,3,5,3,17,21,3,3,2,1,99,5,1,0,0,7,0,0,0,0,0,0,0
4524,741690,NE,KC,FGXP,3,3,3,5,1,24,21,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741691,KC,NE,KOFF,0,6,3,5,1,21,24,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741692,KC,NE,PASS,1,35,3,4,56,21,24,3,3,1,10,13,1,0,1,0,0,1,0,1,0,0,0,0
4524,741693,KC,NE,RUSH,2,46,3,4,21,21,24,3,3,2,12,11,1,0,1,0,0,1,0,0,0,0,0,0
4524,741694,KC,NE,PASS,3,13,3,3,35,21,24,3,3,3,11,12,1,0,1,0,0,0,1,1,0,0,0,0
4524,741695,KC,NE,NOPL,0,9,3,3,22,21,24,3,3,4,12,11,1,0,0,0,0,0,0,1,0,0,0,0
4524,741696,KC,NE,NOPL,0,10,3,3,13,21,24,3,3,4,7,16,1,0,0,0,0,0,0,1,0,0,0,0
4524,741697,NE,KC,PUNT,0,13,3,3,3,24,21,3,3,4,2,21,2,0,0,0,0,0,0,0,0,0,0,0
4524,741698,NE,KC,PASS,1,19,3,2,50,24,21,3,3,1,10,28,2,1,1,0,0,1,0,1,0,0,0,0
4524,741699,NE,KC,RUSH,2,31,3,2,31,24,21,3,3,1,10,82,5,0,0,0,0,1,0,0,0,0,0,0
4524,741700,NE,KC,RUSH,3,24,3,2,0,24,21,3,3,2,3,89,5,1,0,1,0,1,0,0,0,0,0,0
4524,741701,NE,KC,RUSH,4,39,3,1,36,24,21,3,3,1,7,93,5,0,0,1,0,1,0,0,0,0,0,0
4524,741702,NE,KC,RUSH,5,37,3,0,57,24,21,3,3,2,4,96,5,0,0,0,0,1,0,0,0,0,0,0
4524,741703,NE,KC,RUSH,6,8,3,0,20,24,21,3,3,3,10,90,5,0,1,0,0,0,0,1,0,0,0,0
4524,741704,NE,KC,FGXP,7,3,3,0,12,24,21,3,3,4,14,86,5,0,0,0,3,0,0,0,0,0,0,0
4524,741705,KC,NE,KOFF,0,5,3,0,9,21,27,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741706,KC,NE,NOPL,0,20,3,0,4,21,27,3,3,1,10,10,1,0,0,0,0,0,0,1,0,0,0,0
4524,741707,KC,NE,RUSH,1,35,3,0,4,21,27,3,3,1,15,5,1,0,1,0,0,1,0,0,0,0,0,0
4524,741708,KC,NE,PASS,2,41,4,15,0,21,27,3,3,2,2,18,1,1,1,0,0,1,0,0,0,0,0,0
4524,741709,KC,NE,PASS,3,12,4,14,19,21,27,3,3,1,10,22,2,1,1,0,7,0,0,0,0,0,0,0
4524,741710,KC,NE,FGXP,3,3,4,14,7,28,27,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741711,NE,KC,KOFF,0,6,4,14,7,27,28,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741712,NE,KC,PASS,1,30,4,14,7,27,28,3,3,1,10,25,2,1,1,0,0,1,0,0,0,0,0,0
4524,741713,NE,KC,PASS,2,32,4,13,34,27,28,3,3,1,10,51,3,0,1,0,0,1,0,0,0,0,0,0
4524,741714,NE,KC,PASS,3,6,4,13,2,27,28,3,3,2,2,59,3,0,1,0,0,0,0,0,0,0,0,0
4524,741715,NE,KC,PASS,4,27,4,12,56,27,28,3,3,3,2,59,3,0,1,0,0,1,0,0,0,0,0,0
4524,741716,NE,KC,RUSH,5,8,4,12,29,27,28,3,3,4,1,60,4,0,0,0,0,1,0,0,0,0,0,0
4524,741717,KC,NE,PASS,1,5,4,12,21,28,27,3,3,1,10,40,2,0,1,0,0,0,0,0,0,0,0,0
4524,741718,KC,NE,RUSH,2,40,4,12,16,28,27,3,3,2,10,40,2,0,1,0,0,1,0,0,0,0,0,0
4524,741719,KC,NE,PASS,3,50,4,11,36,28,27,3,3,3,8,42,3,0,1,0,0,1,0,0,0,0,0,0
4524,741720,KC,NE,NOPL,3,9,4,10,46,28,27,3,3,4,1,49,3,0,0,0,0,0,0,1,0,0,0,0
4524,741721,NE,KC,PUNT,0,9,4,10,37,27,28,3,3,4,6,44,3,0,0,0,0,0,0,0,0,0,0,0
4524,741722,NE,KC,RUSH,1,28,4,10,28,27,28,3,3,1,10,13,1,0,0,0,0,1,0,0,0,0,0,0
4524,741723,NE,KC,RUSH,2,34,4,10,0,27,28,3,3,2,8,15,1,1,0,0,0,1,0,0,0,0,0,0
4524,741724,NE,KC,PASS,3,6,4,9,26,27,28,3,3,1,10,29,2,0,1,0,0,0,0,0,0,0,0,0
4524,741725,NE,KC,PASS,4,9,4,9,20,27,28,3,3,2,10,29,2,0,1,0,0,0,0,0,0,0,0,0
4524,741726,NE,KC,PASS,5,5,4,9,11,27,28,3,3,3,10,29,2,0,1,0,0,0,0,0,0,0,0,0
4524,741727,KC,NE,PUNT,0,11,4,9,6,28,27,3,3,4,10,29,2,0,0,0,0,0,0,0,0,0,0,0
4524,741728,KC,NE,PASS,1,35,4,8,55,28,27,3,3,1,10,40,2,0,1,0,0,1,0,0,0,0,0,0
4524,741729,KC,NE,RUSH,2,44,4,8,20,28,27,3,3,2,1,49,3,1,1,0,0,1,0,0,0,0,0,0
4524,741730,KC,NE,PASS,3,45,4,7,36,28,27,3,3,1,10,56,3,0,1,0,0,1,0,0,0,0,0,0
4524,741731,KC,NE,PASS,4,37,4,6,51,28,27,3,3,2,6,60,4,1,1,0,0,1,0,0,0,0,0,0
4524,741732,KC,NE,PASS,5,8,4,6,14,28,27,3,3,1,10,85,5,0,1,0,0,0,0,0,0,0,0,0
4524,741733,KC,NE,PASS,6,47,4,6,6,28,27,3,3,2,10,85,5,1,1,0,0,1,0,0,0,0,0,0
4524,741734,KC,NE,RUSH,7,5,4,5,19,28,27,2,3,1,4,96,5,1,1,0,7,0,0,0,0,0,0,0
