uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp,nflid
94354,4529,JK-0250,0,0,0,0,0,0,0,0,0,9,7,59,0,0,0,0,0,0,0,55,5.9,9.4,12.9,19,6,2017,NYJ,RWR,10,1,2532887
94355,4529,ET-0375,0,0,0,0,0,0,0,0,0,2,2,25,0,0,0,0,0,10,0,13,2.5,3.5,4.5,8,3,2017,NYJ,TE,83,1,2553744
94356,4529,JM-1550,0,0,0,0,0,0,0,0,0,3,2,61,0,0,0,0,0,0,0,67,6.1,7.1,8.1,15,4,2017,BUF,LWR,87,1,2543500
94357,4529,PD-0700,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,20,0.5,1,1.5,20,7,2017,BUF,FB,42,1,2530763
94358,4529,BP-1200,0,0,0,0,0,7,1,22,0,6,5,17,0,0,0,0,0,0,0,30,3.9,6.4,8.9,17,7,2017,NYJ,RB,29,2,2495328
94359,4529,WT-0600,0,0,0,0,0,0,0,0,0,3,3,34,0,0,0,0,0,0,0,37,3.4,4.9,6.4,18,3,2017,NYJ,TE,82,3,2553830
94360,4529,AH-3600,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,39,6.1,6.6,7.1,18,7,2017,BUF,RWR,18,2,2495453
94361,4530,DC-0725,32,22,262,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,66,18.68,18.68,18.68,16,4,2017,OAK,QB,4,1,2543499
94362,4530,AC-2350,0,0,0,0,0,0,0,0,0,13,5,62,1,0,0,0,0,0,0,61,12.2,14.7,17.2,18,3,2017,OAK,RWR,89,1,2552487
94363,4530,ML-2500,0,0,0,0,0,18,11,76,0,2,1,16,0,0,0,0,0,0,0,32,9.2,9.7,10.2,1,11,2017,OAK,RB,24,1,2495663
94364,4530,JC-4300,0,0,0,0,0,0,0,0,0,5,5,56,0,0,0,0,0,0,0,47,5.6,8.1,10.6,14,9,2017,OAK,TE,87,2,71265
94365,4530,MM-0912,41,25,256,0,0,3,2,26,1,0,0,0,0,0,0,0,0,0,0,64,18.84,18.84,18.84,16,3,2017,TEN,QB,8,1,2552466
94366,4530,RM-1500,0,0,0,0,0,0,0,0,0,9,5,71,0,0,0,0,0,0,0,52,7.1,9.6,12.1,17,6,2017,TEN,LWR,18,1,2532903
94367,4530,ED-0200,0,0,0,0,0,0,0,0,0,8,3,10,0,0,0,0,0,0,0,60,1,2.5,4,4,8,2017,TEN,RWR,87,2,497284
94368,4530,DM-4300,0,0,0,0,0,12,5,44,0,2,2,16,0,0,0,0,0,0,0,47,6,7,8,17,7,2017,TEN,RB,29,1,2495207
94369,4530,CD-0975,0,0,0,0,0,0,0,0,0,10,6,69,0,0,0,0,0,0,0,44,6.9,9.9,12.9,1,1,2017,TEN,RWR,84,1,2557848
94370,4530,CP-0750,0,0,0,0,0,1,1,5,0,1,1,2,0,1,41,0,0,0,0,22,0.7,1.2,1.7,17,5,2017,OAK,RWR,84,2,2540145
94371,4530,MC-2900,0,0,0,0,0,0,0,0,0,7,6,83,0,0,0,0,0,10,0,48,8.3,11.3,14.3,18,9,2017,OAK,LWR,15,1,71269
94372,4530,DH-2450,0,0,0,0,0,6,2,25,0,0,0,0,0,0,0,0,0,0,0,18,2.5,2.5,2.5,16,2,2017,TEN,RB,22,2,2556075
94373,4530,JR-2075,0,0,0,0,0,5,2,22,0,1,1,6,0,3,5,0,0,0,0,14,2.8,3.3,3.8,18,2,2017,OAK,RB,30,2,2556885
94374,4530,DW-1350,0,0,0,0,0,3,1,4,0,2,2,18,0,0,0,0,0,0,0,15,2.2,3.2,4.2,16,2,2017,OAK,RB,33,3,2555464
94375,4530,DW-0500,0,0,0,0,0,0,0,0,0,9,7,76,0,0,0,0,0,0,0,53,7.6,11.1,14.6,16,12,2017,TEN,TE,82,1,2495966
94376,4530,TT-0150,0,0,0,0,0,0,0,0,0,2,2,14,0,0,0,0,0,0,0,6,1.4,2.4,3.4,1,1,2017,TEN,LWR,13,2,2557870
