pid,punter,pgro,pnet,ptb,pr,pry,pfc
746201,TW-1175,47,41,0,TJ-2250,6,0
746210,TW-1175,62,56,0,TA-1050,6,0
746232,JH-3230,45,45,0,,0,0
746238,TW-1175,41,34,0,TA-1050,7,0
746303,MB-3000,50,50,0,TD-0737,0,1
746308,JV-0550,44,40,0,AR-1100,4,0
746328,JV-0550,47,47,0,,0,0
746343,JV-0550,28,28,0,,0,0
746347,MB-3000,45,45,0,JJ-0775,0,1
746411,MB-3000,38,38,0,TD-0737,0,1
746433,MB-3000,32,32,0,,0,0
746447,JL-2250,40,40,0,DH-1800,0,1
746451,BW-2625,37,37,0,,0,0
746493,BW-2625,47,43,0,JA-0425,4,0
746498,JL-2250,51,41,0,DH-1800,10,0
746502,BW-2625,50,41,0,JA-0425,9,0
746516,BW-2625,45,45,0,JA-0425,0,1
746520,JL-2250,47,48,0,DH-1800,-1,0
746546,JL-2250,34,34,0,DH-1800,0,1
746550,BW-2625,60,-28,0,JA-0425,88,0
746564,JL-2250,37,37,0,DH-1800,0,1
746640,BP-0750,32,32,0,TA-1050,0,0
746651,JH-3230,64,55,0,TT-0450,9,0
746740,BP-0750,51,51,0,TA-1050,0,1
