pid,psr,trg,loc,yds,comp,succ,spk,dfb
743433,AR-1300,RC-1500,SR,0,0,0,0,
743448,RW-3850,PR-0150,SL,12,1,1,0,
743450,RW-3850,NV-0050,SL,10,1,1,0,
743451,RW-3850,TL-1025,SR,8,1,1,0,
743453,RW-3850,PR-0150,SL,0,0,0,0,DR-0450
743454,RW-3850,JG-2900,SR,0,0,0,0,
743458,AR-1300,LK-0200,SL,9,1,1,0,
743459,AR-1300,LK-0200,SR,0,0,0,0,
743461,AR-1300,MB-1800,SM,5,1,1,0,
743463,AR-1300,TM-3150,SM,12,1,1,0,
743464,AR-1300,RC-1500,SR,6,1,1,0,
743465,AR-1300,TM-3150,SL,2,1,0,0,
743466,AR-1300,JN-0900,DM,32,1,1,0,
743470,RW-3850,DB-0500,SM,11,1,1,0,
743471,RW-3850,DB-0500,SL,7,1,1,0,
743473,RW-3850,JG-2900,DL,0,0,0,0,
743475,AR-1300,RC-1500,SL,5,1,1,0,
743477,AR-1300,TM-3150,SL,20,1,1,0,
743478,AR-1300,RC-1500,SM,8,1,1,0,
743480,AR-1300,MB-1800,SR,0,0,0,0,
743482,AR-1300,JN-0900,SM,5,1,1,0,
743483,AR-1300,RC-1500,SR,0,0,0,0,JC-3518
743484,AR-1300,JN-0900,DL,0,0,0,0,SG-1600
743485,AR-1300,DA-0212,SL,0,0,0,0,
743488,RW-3850,DB-0500,SM,11,1,1,0,
743489,RW-3850,PR-0150,DL,28,1,1,0,
743490,RW-3850,PR-0150,SL,13,1,1,0,
743491,RW-3850,PR-0150,DL,0,0,0,0,
743492,RW-3850,AD-0212,DL,0,0,0,0,HC-0050
743493,RW-3850,JG-2900,SM,0,0,0,0,MB-5100
743498,AR-1300,RC-1500,SL,10,1,1,0,
743500,AR-1300,JN-0900,SL,9,1,1,0,
743507,AR-1300,MB-1800,SR,26,1,1,0,
743516,DP-2037,CB-1130,SL,13,1,1,0,
743517,DP-2037,JW-6000,SR,7,1,1,0,
743518,DP-2037,BB-4100,SM,0,0,0,0,
743519,DP-2037,DB-5300,SL,0,0,0,0,
743522,EM-0200,EE-0400,SR,3,1,0,0,
743526,DP-2037,CB-1130,SR,0,0,0,0,
743527,DP-2037,CB-1130,SR,12,1,1,0,
743529,DP-2037,BB-4100,DR,30,1,1,0,
743530,DP-2037,DB-5300,SR,0,0,0,0,
743531,DP-2037,DB-5300,SM,0,0,0,0,
743532,DP-2037,DB-5300,SR,0,0,0,0,
743535,EM-0200,PP-0350,SL,5,1,1,0,
743536,EM-0200,PP-0350,SR,0,0,0,0,
743537,EM-0200,SV-0200,SR,0,0,0,0,
743539,DP-2037,DB-5300,SL,8,1,1,0,
743541,DP-2037,DB-5300,SR,0,0,0,0,DH-1850
743542,DP-2037,TW-2270,SR,9,1,1,0,
743543,DP-2037,TW-2270,SR,2,1,1,0,
743546,DP-2037,DB-5300,DR,0,0,0,0,
743548,DP-2037,TW-2270,SL,15,1,1,0,
743551,DP-2037,JW-6000,SL,11,1,0,0,
743556,EM-0200,SS-1250,SL,12,1,1,0,
743559,EM-0200,SS-1250,SM,2,1,0,0,
743561,DP-2037,JW-6000,SL,0,0,0,0,
743563,DP-2037,TW-2270,SM,23,1,1,0,
743566,DP-2037,BB-4100,SM,0,0,0,0,EA-0575
743570,EM-0200,OD-0200,SR,-1,1,0,0,
743571,EM-0200,SS-1250,SR,3,1,0,0,
743572,EM-0200,SV-0200,SR,1,1,0,0,
743575,DP-2037,JW-6000,SR,4,1,1,0,
743579,DP-2037,EE-0250,SL,3,1,0,0,
743580,DP-2037,JW-6000,SM,12,1,1,0,
743583,EM-0200,SS-1250,SR,0,0,0,0,
743584,EM-0200,SV-0200,SR,8,1,1,0,
743585,EM-0200,BM-0300,SL,0,0,0,0,
743587,DP-2037,TW-2270,SR,14,1,1,0,
743588,DP-2037,JW-6000,SR,6,1,1,0,
743589,DP-2037,TW-2270,SR,5,1,1,0,
743591,DP-2037,JW-6000,SL,9,1,1,0,
743592,DP-2037,,NL,0,0,0,1,
743598,EM-0200,SV-0200,SR,5,1,0,0,
743599,EM-0200,RL-0625,DR,22,1,1,0,
