uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
106252,4547,745340,TEN,3,PUNT,1,1,24,28,3,0,0,0,0,10,2,-4,1,0,0,5,1,PUNT
106253,4547,745345,JAC,3,PUNT,2,0,53,29,3,0,0,0,0,4,1,0,2,0,0,0,4,PUNT
106254,4547,745349,TEN,4,PUNT,2,1,39,14,3,1,0,0,0,0,1,4,2,1,0,0,4,PUNT
106255,4547,745353,JAC,4,PUNT,2,2,59,41,5,3,1,1,0,11,3,-3,2,1,0,10,-2,FUM
106256,4547,745359,TEN,5,FUM,2,1,19,61,3,1,1,0,1,17,1,-2,2,1,0,0,15,INT
106257,4547,745362,JAC,5,INT,2,5,20,16,10,4,2,2,1,29,6,13,4,2,15,15,42,INT
106258,4547,745373,TEN,6,INT,2,2,13,39,10,5,1,1,0,9,2,44,7,4,5,20,38,FG
106259,4547,745387,JAC,6,KOFF,3,0,56,25,3,1,0,0,0,4,1,0,2,0,0,0,4,INT
106260,4547,745390,TEN,7,INT,3,4,40,61,10,3,1,1,0,14,5,27,4,2,0,10,31,FG
106261,4547,745401,JAC,7,KOFF,3,2,2,25,3,0,0,0,0,1,1,5,2,1,0,10,-4,PUNT
106262,4547,745406,TEN,8,PUNT,3,0,46,66,2,2,1,1,0,17,1,17,1,1,0,0,34,TD
106263,4547,745410,JAC,8,KOFF,3,2,13,9,4,1,0,1,0,1,1,6,3,1,0,10,-3,PUNT
106264,4547,745416,TEN,9,PUNT,3,1,34,51,3,3,1,1,0,7,2,42,1,1,15,0,49,TD
106265,4547,745421,JAC,9,KOFF,3,2,33,15,7,2,0,2,0,0,0,32,7,4,0,10,22,PUNT
106266,4547,745430,TEN,10,PUNT,3,5,19,14,8,8,3,2,0,42,6,49,2,2,5,10,86,TD
106267,4547,745442,JAC,10,KOFF,4,2,51,25,7,6,1,3,0,7,2,68,4,4,0,0,75,TD
